,Value_Gold,Value_Silver,Value_Brent
Value_Gold,1.0,0.9537561733804092,0.4576758203373383
Value_Silver,0.9537561733804092,1.0,0.5147788680729871
Value_Brent,0.4576758203373383,0.5147788680729871,1.0
